"","Year","OPCS","Description","FCE","Admissions","Male","Female","Gender Unknown","Emergency","Waiting list","Planned","Other Admission Method","Mean time waited","Median time waited","Mean length of stay","Median length of stay","Mean age","Age 0","Age 1-4","Age 5-9","Age 10-14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20-24","Age 25-29","Age 30-34","Age 35-39","Age 40-44","Age 45-49","Age 50-54","Age 55-59","Age 60-64","Age 65-69","Age 70-74","Age 75-79","Age 80-84","Age 85-89","Age 90+","Day case","FCE bed days","EmergencyDC","ElectiveDC","OtherDC","class1","elective","new_daycase","inpatient","daycase","class2","class3","class4","proc_group"
"377","2014","J10","Transluminal operations on blood vessel of liver",1948,1577,1468,480,0,152,1014,387,24,20,17,3.5,2,65,4,4,2,6,0,1,1,1,2,8,10,18,28,32,59,144,227,291,343,308,254,138,48,4,26,5849,9,29,9,176,1401,55,1361,40,1401,0,0,"HPB"
"378","2014","J11","Transjugular intrahepatic operations on blood vessel of liver",539,392,342,197,0,101,181,79,31,32,19,8.8,4,52,4,11,4,4,1,4,2,0,0,7,17,15,34,30,62,87,67,75,50,28,26,6,1,1,64,3522,3,26,0,132,260,90,217,43,0,260,0,"HPB"
"379","2014","J12","Other therapeutic percutaneous operations on liver",2153,1476,1348,805,0,446,836,167,27,22,15,9,2,65,1,0,1,0,4,2,5,3,0,9,18,31,36,56,88,171,218,279,331,300,264,205,88,31,73,16764,4,26,0,473,1003,99,957,46,1003,0,0,"HPB"
"380","2014","J13","Diagnostic percutaneous operations on liver",13394,11476,7042,6352,0,1432,7122,2841,81,27,13,6.1,1,56,57,104,83,111,35,46,40,46,35,248,379,543,593,781,1051,1329,1372,1513,1718,1329,1037,577,190,20,6473,37343,284,1477,4,1513,9963,7950,4049,5914,9963,0,0,"HPB"
"381","2014","J15","Transluminal insertion of prosthesis into blood vessel of liver",18,13,7,11,0,7,2,2,2,47,47,15.7,9,50,0,1,0,1,0,0,0,0,0,0,0,1,0,4,3,0,2,0,3,1,1,1,0,0,0,235,1,1,0,9,4,1,4,0,0,4,0,"HPB"
"382","2014","J16","Other operations on liver",18,12,6,12,0,4,7,1,0,13,9,10.6,3,62,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,2,5,1,1,1,0,2,129,0,3,0,4,8,5,6,2,8,0,0,"HPB"
"383","2014","J18","Excision of gall bladder",74907,71876,19237,55664,6,7182,64050,580,64,74,63,2.8,1,51,1,9,30,103,69,97,165,206,278,3189,4995,5871,5395,6879,7571,7974,7248,6689,7070,5074,3658,1695,472,70,31302,118587,95,3640,3,7246,64630,34942,34482,30148,0,64630,0,"HPB"
"384","2014","J19","Connection of gall bladder",9,8,4,5,0,0,6,1,1,87,25,10.7,9,29,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,78,0,0,0,1,7,0,7,0,0,0,7,"HPB"
"385","2014","J20","Repair of gall bladder",27,24,6,21,0,9,12,3,0,66,35,5.5,4,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,1,6,5,6,2,0,6,118,2,0,0,9,15,6,12,3,0,15,0,"HPB"
"386","2014","J21","Incision of gall bladder",659,417,325,334,0,335,71,3,8,84,53,14.2,11,71,1,0,0,0,0,0,0,0,1,2,3,4,8,16,19,32,40,36,87,106,102,96,69,37,10,7337,4,2,2,343,74,12,73,1,0,74,0,"HPB"
"387","2014","J23","Other open operations on gall bladder",28,27,17,11,0,10,16,1,0,41,28,6.3,3,64,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,4,2,5,3,3,2,0,2,4,150,2,0,0,10,17,4,15,2,0,17,0,"HPB"
"388","2014","J24","Therapeutic percutaneous operations on gall bladder",969,597,496,473,0,555,24,9,9,25,9,16.4,12,72,0,1,1,0,0,0,1,0,0,2,3,7,9,18,27,31,64,74,106,133,161,166,109,55,7,12380,5,2,0,564,33,9,33,0,33,0,0,"HPB"
"389","2014","J25","Diagnostic percutaneous operations on gall bladder",44,35,20,24,0,9,23,3,0,22,10,10.9,8,65,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,1,8,4,6,5,8,3,2,1,18,225,0,2,0,9,26,20,14,12,26,0,0,"HPB"
"390","2014","J26","Other operations on gall bladder",32,27,16,16,0,14,9,4,0,31,24,5.3,1,67,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,2,1,3,4,3,6,2,3,7,107,5,0,0,14,13,7,10,3,0,13,0,"HPB"
"391","2014","J27","Excision of bile duct",51,49,15,36,0,4,41,4,0,46,34,8.1,7,48,1,3,1,1,0,0,1,0,1,1,2,1,6,2,2,4,5,4,10,1,3,2,0,0,2,381,0,0,0,4,45,2,43,2,0,45,0,"HPB"
"392","2014","J28","Extirpation of lesion of bile duct",32,29,14,18,0,3,18,7,1,73,20,9.4,7,25,2,7,3,2,0,0,0,0,0,5,4,1,1,1,0,1,0,1,1,0,2,1,0,0,1,257,0,0,0,4,25,1,24,1,0,25,0,"HPB"
"393","2014","J29","Connection of hepatic duct",241,212,128,113,0,35,138,22,17,49,26,12.9,9,50,45,2,2,0,0,0,0,0,0,1,1,4,1,12,16,13,23,22,38,28,18,11,2,0,0,2801,0,0,0,52,160,0,160,0,0,160,0,"HPB"
"394","2014","J30","Connection of common bile duct",40,33,21,19,0,5,23,3,2,34,16,25.5,11,56,2,0,1,0,0,0,0,0,0,0,1,2,0,3,2,7,3,2,6,4,5,1,1,0,1,860,0,0,0,7,26,1,25,1,0,26,0,"HPB"
"395","2014","J31","Open introduction of prosthesis into bile duct",23,18,14,9,0,6,7,4,1,421,36,15.9,3,59,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,2,1,2,7,3,1,1,0,1,4,227,1,2,0,7,11,6,8,3,0,0,11,"HPB"
"396","2014","J32","Repair of bile duct",75,52,27,48,0,29,19,2,2,76,67,12.6,8,54,0,1,1,0,0,0,0,0,1,2,2,2,3,6,6,13,15,5,6,5,4,3,0,0,0,738,0,0,0,31,21,0,21,0,0,21,0,"HPB"
"397","2014","J33","Incision of bile duct",167,125,73,94,0,33,82,5,5,58,33,11.4,8,65,0,0,0,0,0,0,0,0,2,2,2,5,4,6,7,10,17,9,29,21,21,18,10,4,5,1489,0,0,0,38,87,5,84,3,0,87,0,"HPB"
"398","2014","J34","Plastic repair of sphincter of Oddi using duodenal approach",182,147,54,128,0,15,97,34,1,30,17,9.7,2,65,0,1,4,1,0,0,0,0,1,2,2,3,5,9,4,9,10,16,27,24,23,23,10,8,62,837,0,10,0,16,131,72,79,52,0,131,0,"HPB"
"399","2014","J35","Incision of sphincter of Oddi using duodenal approach",86,55,39,47,0,6,44,4,1,19,11,6.4,3,65,0,0,0,1,0,0,0,0,0,1,1,5,1,1,7,4,8,4,9,16,15,8,4,1,26,243,0,11,0,7,48,37,27,21,48,0,0,"HPB"
"400","2014","J36","Other operations on ampulla of Vater using duodenal approach",65,60,26,39,0,5,42,12,1,35,28,6,4,60,0,0,0,0,0,0,0,0,0,0,0,4,6,3,1,3,11,13,7,4,9,3,1,0,41,119,0,0,0,6,54,41,20,34,0,54,0,"HPB"
"401","2014","J37","Other open operations on bile duct",69,57,23,46,0,15,38,3,1,49,45,6.8,4,55,2,0,0,0,0,0,0,0,0,3,4,3,4,3,4,10,4,4,7,7,9,2,2,1,14,346,0,0,0,16,41,14,33,8,0,41,0,"HPB"
"402","2014","J49","Therapeutic operations on bile duct along T tube track",14,8,6,8,0,0,7,1,0,29,25,10.5,8,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,3,3,0,1,0,2,51,0,1,0,0,8,3,6,2,0,8,0,"HPB"
"403","2014","J52","Other operations on bile duct",19,12,6,13,0,4,8,0,0,25,23,6.4,6,63,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,3,0,2,4,1,4,0,0,2,68,1,0,0,4,8,2,7,1,8,0,0,"HPB"
"404","2014","J54","Transplantation of pancreas",55,55,19,36,0,48,6,1,0,5,6,15,11,45,0,0,0,0,0,0,0,0,0,0,5,4,7,10,9,8,6,1,3,1,0,0,0,0,1,756,0,0,0,48,7,1,7,0,7,0,0,"HPB"
"405","2014","J55","Total excision of pancreas",76,73,43,33,0,4,64,3,2,30,24,20,15,62,0,0,0,0,0,0,0,0,0,0,3,1,1,4,4,9,5,10,17,10,6,6,0,0,0,1174,0,0,1,6,67,0,67,0,0,67,0,"HPB"
"406","2014","J56","Excision of head of pancreas",1216,1147,669,547,0,68,1006,55,18,25,19,17,13,64,2,0,0,3,0,1,0,3,1,3,7,10,20,36,66,94,120,174,226,204,178,56,8,1,0,16876,0,2,0,86,1061,2,1059,2,1061,0,0,"HPB"
"407","2014","J57","Other partial excision of pancreas",587,498,309,278,0,46,406,21,25,29,22,21.8,9,59,2,1,0,1,2,0,1,0,0,5,12,21,19,38,42,63,53,78,99,78,53,14,5,0,6,10980,0,2,0,71,427,8,421,6,0,427,0,"HPB"
"408","2014","J58","Extirpation of lesion of pancreas",52,47,21,31,0,7,37,3,0,28,30,14.3,7,54,0,0,0,1,0,0,0,1,0,0,2,5,2,4,5,4,5,6,8,5,2,0,1,0,0,725,1,0,0,7,40,0,40,0,0,40,0,"HPB"
"409","2014","J59","Connection of pancreatic duct",54,52,29,25,0,4,46,2,0,57,38,13.3,8,49,0,1,1,1,1,3,0,0,0,0,1,0,4,5,7,10,2,6,5,5,2,0,0,0,0,655,0,0,0,4,48,0,48,0,0,48,0,"HPB"
"410","2014","J60","Other open operations on pancreatic duct",36,26,19,17,0,2,17,7,0,17,15,16.3,2,56,0,0,0,0,0,0,0,0,0,2,0,0,5,2,2,6,2,5,4,3,1,3,1,0,16,276,0,4,0,2,24,20,11,13,24,0,0,"HPB"
"411","2014","J61","Open drainage of lesion of pancreas",246,184,130,116,0,46,116,13,9,26,16,15.1,7,54,0,1,2,1,0,1,1,1,0,9,4,11,17,28,26,14,29,24,24,21,23,6,1,1,60,2296,0,6,1,55,129,66,94,35,129,0,0,"HPB"
"412","2014","J62","Incision of pancreas",1,1,1,0,0,0,1,0,0,29,29,1,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,"HPB"
"413","2014","J63","Open examination of pancreas",3,2,2,1,0,0,2,0,0,22,22,7.5,8,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,13,0,0,0,0,2,1,1,1,2,0,0,"HPB"
"414","2014","J65","Other open operations on pancreas",61,50,27,34,0,8,37,4,1,17,13,13.3,7,62,0,0,0,2,1,0,0,0,0,1,0,0,1,0,4,5,7,5,9,14,6,5,0,0,11,585,0,1,0,9,41,12,33,8,41,0,0,"HPB"
"415","2014","J68","Other operations on pancreas",25,24,9,16,0,0,14,10,0,26,22,1.8,1,57,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,4,6,3,1,3,2,0,0,0,10,23,0,1,0,0,24,11,13,11,24,0,0,"HPB"
"416","2014","J69","Total excision of spleen",803,699,459,344,0,315,360,19,5,52,36,8.8,6,47,0,11,29,21,8,13,9,9,9,52,45,45,39,52,46,65,63,62,81,69,45,19,6,1,0,6346,4,2,0,320,379,2,378,1,0,379,0,"HPB"
"417","2014","J70","Other excision of spleen",39,36,14,25,0,4,31,1,0,60,53,4.1,3,29,0,1,2,3,0,0,0,3,1,6,6,4,5,2,2,2,2,0,0,0,0,0,0,0,1,161,0,0,0,4,32,1,31,1,0,32,0,"HPB"
"418","2014","J72","Other operations on spleen",329,245,197,132,0,138,70,30,7,27,15,8.4,5,54,2,2,3,7,3,1,1,4,1,20,14,16,8,20,20,25,35,24,32,26,30,20,11,3,33,2140,4,9,0,145,100,42,87,13,100,0,0,"HPB"
"419","2014","J73","Laparoscopic ultrasound examination of pancreas",48,46,28,20,0,2,37,7,0,17,10,5.1,1,61,0,0,0,0,0,1,0,0,0,1,1,0,1,3,2,3,7,7,7,5,8,1,1,0,32,51,0,4,0,2,44,36,11,33,44,0,0,"HPB"
"420","2014","K01","Transplantation of heart and lung",10,7,7,3,0,2,4,1,0,201,230,32.5,33,35,0,0,0,1,0,0,0,0,0,1,1,0,3,3,0,1,0,0,0,0,0,0,0,0,2,180,0,0,0,2,5,2,4,1,0,0,5,"Cardiac"
"421","2014","K02","Other transplantation of heart",177,52,118,59,0,26,15,3,8,39,33,72.7,61,35,7,8,18,9,5,3,0,2,2,4,12,10,9,12,10,23,20,16,5,0,0,0,0,0,10,6003,0,0,0,34,18,10,17,1,0,18,0,"Cardiac"
"422","2014","K04","Repair of tetralogy of Fallot",269,193,143,126,0,8,167,12,6,74,67,11.1,9,4,195,41,8,5,0,1,1,0,2,2,2,3,3,2,0,3,1,0,0,0,0,0,0,0,1,1441,0,0,0,14,179,1,178,1,0,179,0,"Cardiac"
"423","2014","K05","Atrial inversion operations for transposition of great arteries",4,3,1,3,0,1,2,0,0,21,21,20,20,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0,0,0,1,2,0,2,0,2,0,0,"Cardiac"
"424","2014","K06","Other repair of transposition of great arteries",173,42,131,42,0,8,23,2,9,86,66,22.8,18,1,153,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2066,0,0,0,17,25,0,25,0,0,0,25,"Cardiac"
"425","2014","K07","Correction of total anomalous pulmonary venous connection",63,27,43,20,0,7,11,0,9,97,31,14.2,13,2,55,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,451,0,0,0,16,11,0,11,0,0,0,11,"Cardiac"
"426","2014","K08","Repair of double outlet ventricle",47,28,24,23,0,1,24,1,2,94,98,15.6,13,1,35,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,3,25,0,25,0,0,0,25,"Cardiac"
"427","2014","K09","Repair of defect of atrioventricular septum",224,162,100,124,0,5,150,5,2,70,61,12.6,9,8,127,49,8,4,0,0,0,0,0,5,3,5,5,4,1,2,5,1,3,0,2,0,0,0,9,1558,0,0,0,7,155,9,149,6,0,155,0,"Cardiac"
"428","2014","K10","Repair of defect of interatrial septum",471,399,203,268,0,4,368,25,2,92,61,7.6,6,20,39,164,54,22,1,2,1,3,1,22,15,10,17,20,18,28,12,15,12,12,0,1,0,0,7,2508,0,1,0,6,393,8,386,7,0,0,393,"Cardiac"
"429","2014","K11","Repair of defect of interventricular septum",483,349,250,233,0,13,313,12,11,64,46,10.1,7,6,300,85,37,14,1,5,1,2,0,2,1,2,3,3,2,4,3,2,9,1,3,3,0,0,1,2699,0,0,0,24,325,1,324,1,0,325,0,"Cardiac"
"430","2014","K12","Repair of defect of unspecified septum of heart",7,6,4,3,0,1,3,1,1,119,68,14.8,9,51,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,1,72,0,0,0,2,4,1,3,1,0,0,4,"Cardiac"
"431","2014","K13","Transluminal repair of defect of septum",578,555,223,355,0,6,509,35,5,155,72,1.8,1,34,9,71,96,29,5,6,5,5,4,20,30,28,18,30,31,34,30,32,34,28,25,8,0,0,53,982,1,25,0,11,544,78,471,73,0,0,544,"Cardiac"
"432","2014","K14","Other open operations on septum of heart",30,18,19,11,0,1,13,0,4,77,56,19.8,15,8,17,4,4,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,310,0,0,0,5,13,0,13,0,0,13,0,"Cardiac"
"433","2014","K15","Closed operations on septum of heart",7,7,5,2,0,1,2,0,4,30,30,7.7,1,15,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,0,0,0,5,2,0,2,0,0,2,0,"Cardiac"
"434","2014","K16","Other therapeutic transluminal operations on septum of heart",655,605,358,297,0,24,523,34,24,75,42,2.6,1,39,86,9,10,3,2,2,2,6,6,12,31,49,58,67,82,85,41,36,25,18,16,7,2,0,175,1378,1,57,2,48,557,232,360,197,0,557,0,"Cardiac"
"435","2014","K17","Repair of univentricular heart",259,137,165,94,0,7,75,39,16,128,92,26,17,3,98,110,43,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4437,0,0,0,23,114,0,114,0,0,0,114,"Cardiac"
"436","2014","K18","Creation of valved cardiac conduit",144,99,89,55,0,2,85,11,1,100,77,14.2,9,11,18,29,39,26,6,3,4,1,1,4,4,3,0,1,1,0,0,0,2,1,1,0,0,0,1,1140,0,0,0,3,96,1,95,1,0,0,96,"Cardiac"
"437","2014","K19","Creation of other cardiac conduit",87,65,43,44,0,1,52,10,2,88,59,16.6,11,11,20,21,13,6,2,4,0,1,3,5,3,3,2,1,1,0,0,1,0,1,0,0,0,0,2,977,0,0,0,3,62,2,61,1,0,0,62,"Cardiac"
"438","2014","K20","Refashioning of atrium",65,58,37,28,0,1,50,6,1,97,68,9.7,7,30,7,9,7,2,1,2,2,0,0,2,0,3,4,6,3,3,4,0,4,2,2,1,1,0,4,475,0,0,0,2,56,4,53,3,0,0,56,"Cardiac"
"439","2014","K22","Other operations on wall of atrium",169,125,59,110,0,17,73,5,30,45,27,11.7,9,60,1,0,0,1,0,0,1,0,0,2,6,5,6,7,16,8,15,17,28,28,15,12,1,0,16,1385,0,0,0,47,78,16,71,7,0,78,0,"Cardiac"
"440","2014","K23","Other operations of wall of heart",125,96,97,28,0,28,42,21,5,36,26,11.2,6,52,0,4,5,0,2,1,2,1,2,3,6,4,3,0,11,17,8,11,14,13,10,7,1,0,27,884,0,7,0,33,63,34,46,17,0,63,0,"Cardiac"
"441","2014","K24","Other operations on ventricles of heart",165,126,93,72,0,13,107,2,4,139,51,10,7,24,34,34,12,13,3,1,1,0,2,1,3,8,2,5,5,4,10,6,7,5,5,2,1,0,3,1275,0,2,0,17,109,5,106,3,0,0,109,"Cardiac"
"442","2014","K25","Plastic repair of mitral valve",2882,2516,1585,1297,0,87,2252,26,151,90,74,13.2,9,63,12,21,14,13,0,3,3,3,0,22,41,56,69,95,147,203,241,313,445,464,412,249,48,2,20,34082,0,1,0,238,2278,21,2261,17,0,0,2278,"Cardiac"
"443","2014","K26","Plastic repair of aortic valve",7258,6297,4235,3023,0,269,5440,114,474,68,54,10.8,8,71,10,8,13,16,5,2,5,10,5,24,43,53,67,108,160,248,376,572,938,1111,1349,1258,694,173,3,70296,1,2,4,743,5554,5,5550,4,0,5554,0,"Cardiac"
"444","2014","K27","Plastic repair of tricuspid valve",192,155,110,82,0,8,126,4,17,100,93,15,10,45,4,9,8,7,0,0,2,3,2,8,9,16,9,12,15,14,9,12,16,12,17,6,2,0,1,2435,0,0,0,25,130,1,129,1,0,0,130,"Cardiac"
"445","2014","K28","Plastic repair of pulmonary valve",172,155,101,71,0,1,135,19,0,94,71,7.7,6,26,4,8,4,18,8,8,7,8,5,28,14,15,12,12,8,4,4,4,1,0,0,0,0,0,2,1049,0,0,0,1,154,2,152,2,0,0,154,"Cardiac"
"446","2014","K29","Plastic repair of unspecified valve of heart",17,12,7,10,0,0,9,3,0,47,29,11.3,2,31,1,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1,6,36,0,0,0,0,12,6,8,4,0,12,0,"Cardiac"
"447","2014","K30","Revision of plastic repair of valve of heart",356,264,221,135,0,28,192,6,38,74,60,18.9,13,59,4,2,3,5,0,5,1,1,1,5,16,7,13,14,16,27,27,34,39,52,46,24,14,0,1,5520,0,2,0,66,198,3,196,2,0,198,0,"Cardiac"
"448","2014","K31","Open incision of valve of heart",17,14,15,2,0,1,12,0,1,67,75,18.3,8,4,7,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,2,12,0,12,0,0,12,0,"Cardiac"
"449","2014","K32","Closed incision of valve of heart",2,1,0,2,0,0,1,0,0,75,75,3,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,"Cardiac"
"450","2014","K33","Operations on aortic root",456,394,325,131,0,41,314,9,30,94,78,13.5,9,46,3,8,13,15,6,3,4,3,2,22,31,28,19,50,31,34,41,43,56,19,17,5,1,0,0,5164,0,0,0,71,323,0,323,0,0,0,323,"Cardiac"
"451","2014","K34","Other open operations on valve of heart",213,193,137,76,0,2,176,3,12,89,78,10.6,8,61,1,2,2,2,0,0,0,2,0,2,3,4,2,8,12,22,17,21,32,35,26,18,2,0,0,2100,0,0,0,14,179,0,179,0,0,0,179,"Cardiac"
"452","2014","K35","Therapeutic transluminal operations on valve of heart",979,799,528,451,0,101,527,41,130,56,36,7,2,50,192,60,24,28,6,6,6,5,6,14,16,9,5,9,16,11,17,19,32,69,93,136,129,67,42,5597,3,20,9,231,568,62,532,36,0,568,0,"Cardiac"
"453","2014","K36","Excision of valve of heart",6,4,2,4,0,0,3,1,0,24,13,35,7,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,50,0,0,0,0,4,1,3,1,4,0,0,"Cardiac"
"454","2014","K37","Removal of obstruction from structure adjacent to valve of heart",122,98,71,51,0,1,92,4,1,69,57,11.3,7,12,15,35,24,16,3,0,4,1,2,3,4,4,2,2,1,2,1,2,1,0,0,0,0,0,0,848,0,0,0,2,96,0,96,0,0,96,0,"Cardiac"
"455","2014","K38","Other operations on structure adjacent to valve of heart",9,4,4,5,0,0,3,0,1,40,41,22.2,6,51,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,2,0,1,0,0,0,0,142,0,0,0,1,3,0,3,0,0,3,0,"Cardiac"
"456","2014","K40","Saphenous vein graft replacement of coronary artery",2105,1594,1491,614,0,122,1227,16,229,82,70,14.2,10,72,0,0,0,0,0,0,0,0,0,1,1,1,8,13,33,64,108,192,299,429,431,381,135,7,14,25285,2,1,0,351,1243,15,1234,9,0,1243,0,"Cardiac"
"457","2014","K41","Other autograft replacement of coronary artery",49,38,33,16,0,5,25,0,8,55,34,14.5,10,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,5,4,10,4,7,6,3,0,1,604,0,0,0,13,25,1,24,1,0,25,0,"Cardiac"
"458","2014","K42","Allograft replacement of coronary artery",3,1,1,2,0,1,0,0,0,NA,NA,3,3,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,"Cardiac"
"459","2014","K43","Prosthetic replacement of coronary artery",3,3,3,0,0,0,3,0,0,39,33,7.5,8,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,15,0,0,0,0,3,1,2,1,0,3,0,"Cardiac"
"460","2014","K44","Other replacement of coronary artery",62,50,43,19,0,1,41,1,7,56,44,10.9,9,67,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,9,15,14,8,7,0,0,7,617,0,0,0,8,42,7,37,5,0,42,0,"Cardiac"
"461","2014","K45","Connection of thoracic artery to coronary artery",16564,12644,13560,3004,0,761,9436,151,2296,70,56,11.8,9,67,1,0,0,0,0,0,1,1,0,4,0,15,53,198,565,1173,1799,2430,3129,2984,2724,1240,214,13,9,162381,0,2,0,3057,9587,11,9581,6,0,9587,0,"Cardiac"
"462","2014","K46","Other bypass of coronary artery",4,3,3,1,0,1,2,0,0,65,65,4,4,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,17,0,0,0,1,2,0,2,0,0,2,0,"Cardiac"
"463","2014","K47","Repair of coronary artery",14,12,6,8,0,4,8,0,0,43,29,10.4,10,54,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,1,1,1,2,0,0,125,0,0,0,4,8,0,8,0,0,8,0,"Cardiac"
"464","2014","K48","Other open operations on coronary artery",13,7,8,5,0,1,5,0,1,46,42,9.3,8,28,4,1,0,0,0,1,0,1,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,96,0,0,0,2,5,0,5,0,0,5,0,"Cardiac"
"465","2014","K52","Open operations on conducting system of heart",182,176,134,48,0,3,158,11,4,117,110,5.7,2,60,0,0,0,0,0,0,0,0,0,2,3,6,7,8,12,16,21,28,31,25,13,7,3,0,27,854,0,9,0,7,169,36,136,33,0,0,169,"Cardiac"
"466","2014","K53","Other incision of heart",10,8,7,3,0,1,6,1,0,128,105,8.2,7,39,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,2,72,0,0,0,1,7,2,6,1,0,0,7,"Cardiac"
"467","2014","K54","Open heart assist operations",160,47,125,35,0,13,20,2,12,28,15,48.9,45,37,9,12,5,5,5,1,0,1,3,9,6,5,10,12,14,14,32,12,1,3,0,1,0,0,0,4923,0,0,0,25,22,0,22,0,0,22,0,"Cardiac"
"468","2014","K55","Other open operations on heart",56,32,35,21,0,21,7,1,3,82,84,11.1,8,39,7,0,1,2,0,0,0,2,2,6,2,4,3,4,2,2,2,3,4,4,0,5,0,0,1,373,2,0,0,24,8,1,8,0,0,8,0,"Cardiac"
"469","2014","K56","Transluminal heart assist operations",516,351,370,146,0,261,32,2,56,39,29,8.7,5,65,0,0,0,0,1,0,1,2,3,9,4,12,10,14,21,25,50,62,61,87,82,48,20,3,10,3430,27,2,2,317,34,12,33,1,0,34,0,"Cardiac"
"470","2014","K57","Other therapeutic transluminal operations on heart",10364,10074,5468,4896,0,369,9073,426,206,99,83,1.8,1,53,1,11,70,194,71,89,112,93,98,464,410,414,462,543,754,949,942,1100,1256,1070,746,389,102,20,2747,12868,17,1211,10,575,9499,3958,5871,3628,0,0,9499,"Cardiac"
"471","2014","K59","Cardioverter defibrillator introduced through the vein",10532,8730,8321,2211,0,1014,6259,843,614,57,47,5.4,1,66,0,1,3,16,7,1,18,9,14,65,90,133,184,268,456,633,830,1129,1701,1817,1823,1003,275,44,2270,34693,30,702,103,1628,7102,2972,5098,2004,0,7102,0,"Cardiac"
"472","2014","K60","Cardiac pacemaker system introduced through vein",42121,31601,25477,16644,0,6082,20913,3229,1377,48,37,4.8,2,77,3,12,24,42,7,7,12,10,15,101,123,148,183,286,487,794,1164,1882,3497,5182,7866,9117,7060,4080,11563,114089,226,2191,332,7459,24142,13754,16259,7883,0,24142,0,"Cardiac"
"473","2014","K62","Therapeutic transluminal operations on heart",7499,7357,5293,2206,0,174,6694,421,68,113,92,1.6,1,62,0,0,1,3,1,3,4,1,5,27,64,96,135,271,446,714,950,1162,1521,1096,658,249,77,11,1405,9547,14,495,11,242,7115,1900,5312,1803,0,0,7115,"Cardiac"
"474","2014","K64","Percutaneous operations on heart",49,46,30,19,0,1,42,1,2,106,106,2.1,1,59,0,0,0,0,1,0,0,0,0,1,2,2,1,2,1,6,5,4,13,3,7,0,1,0,24,47,0,2,1,3,43,26,20,23,0,0,43,"Cardiac"
"475","2014","K65","Catheterisation of heart",2692,2527,1352,1340,0,163,1588,740,36,50,36,4.6,2,56,41,54,30,22,6,7,8,10,7,56,70,80,94,138,157,254,277,301,328,298,285,133,27,5,1091,7709,17,97,4,199,2328,1188,1301,1027,0,2328,0,"Cardiac"
"476","2014","K66","Other operations on heart",20,19,7,13,0,7,6,1,5,52,53,2.3,2,53,0,0,0,1,0,0,0,1,0,2,0,2,1,0,1,3,0,0,3,0,5,0,0,1,6,52,2,0,2,12,7,6,5,2,0,7,0,"Cardiac"
